,Date,Open,High,Low,Close,(High-Low),(Open-Close)
0,2022-11-01,26919.60,26938.15,26649.70,26899.65,288.45,19.95
1,2022-10-31,26558.25,26712.10,26453.10,26672.65,259.00,-114.40
2,2022-10-28,26221.15,26536.80,26151.60,26493.25,385.20,-272.10
3,2022-10-27,25930.75,26215.60,25897.45,26130.20,318.15,-199.45
4,2022-10-25,26175.30,26177.40,25729.35,25793.15,448.05,382.15
5,2022-10-24,26044.15,26234.15,26008.60,26056.25,225.55,-12.10
6,2022-10-21,26129.25,26213.10,25822.20,25907.55,390.90,221.70
7,2022-10-20,25635.75,26143.15,25576.90,26080.35,566.25,-444.60
8,2022-10-19,25843.45,26123.45,25672.25,25721.45,451.20,122.00
9,2022-10-18,25629.65,25881.60,25619.75,25779.55,261.85,-149.90
10,2022-10-17,25015.80,25532.95,24851.75,25449.15,681.20,-433.35
11,2022-10-14,25766.60,25768.00,24994.30,25066.95,773.70,699.65
12,2022-10-13,25459.20,25515.95,25256.25,25319.90,259.70,139.30
13,2022-10-12,25279.00,25521.60,25226.85,25455.40,294.75,-176.40
14,2022-10-11,25777.55,25777.55,25152.60,25209.75,624.95,567.80
15,2022-10-10,25606.65,25802.25,25062.85,25621.60,739.40,-14.95
16,2022-10-07,25782.10,25920.50,25696.80,25884.00,223.70,-101.90
17,2022-10-06,25953.20,26060.40,25833.15,25865.25,227.25,87.95
18,2022-10-04,25646.45,25762.60,25316.10,25717.65,446.50,-71.20
19,2022-10-03,25770.55,26023.85,24916.30,25192.60,"1,107.55",577.95
20,2022-09-30,24939.15,25893.00,24922.05,25581.30,970.95,-642.15
21,2022-09-29,25555.70,25760.40,24975.10,25070.40,785.30,485.30
22,2022-09-28,25454.25,25545.25,25205.90,25281.25,339.35,173.00
23,2022-09-27,25909.35,26059.05,25616.65,25682.30,442.40,227.05
24,2022-09-26,26208.80,26251.10,25501.05,25684.20,750.05,524.60
25,2022-09-23,27178.75,27277.10,26431.15,26500.10,845.95,678.65
26,2022-09-22,27159.10,27298.65,26918.10,27223.35,380.55,-64.25
27,2022-09-21,27714.90,27849.65,27261.95,27310.10,587.70,404.80
28,2022-09-20,27840.00,27975.15,27630.75,27724.35,344.40,115.65
