,Date,Open,High,Low,Close,(High-Low),(Open-Close)
0,2022-11-01,5268.10,5276.55,5237.45,5272.90,39.10,-4.80
1,2022-10-31,5185.50,5238.45,5181.85,5234.70,56.60,-49.20
2,2022-10-28,5131.40,5170.25,5127.60,5164.55,42.65,-33.15
3,2022-10-27,5084.85,5127.25,5076.10,5115.30,51.15,-30.45
4,2022-10-25,5071.70,5071.70,5039.70,5058.85,32.00,12.85
5,2022-10-24,5054.80,5083.40,5047.80,5054.45,35.60,0.35
6,2022-10-21,5055.35,5075.90,5008.00,5018.95,67.90,36.40
7,2022-10-20,5003.95,5053.80,4993.95,5048.90,59.85,-44.95
8,2022-10-19,5016.20,5059.70,5010.55,5022.45,49.15,-6.25
9,2022-10-18,4969.70,5020.95,4969.35,5004.75,51.60,-35.05
10,2022-10-17,4903.10,4951.75,4873.70,4944.85,78.05,-41.75
11,2022-10-14,4993.80,4993.80,4920.85,4923.85,72.95,69.95
12,2022-10-13,4955.45,4967.45,4906.65,4922.05,60.80,33.40
13,2022-10-12,4920.50,4967.65,4897.20,4961.15,70.45,-40.65
14,2022-10-11,5020.55,5020.55,4899.70,4912.25,120.85,108.30
15,2022-10-10,4983.40,5013.15,4965.40,4998.50,47.75,-15.10
16,2022-10-07,5009.75,5039.65,4995.15,5036.25,44.50,-26.50
17,2022-10-06,5041.25,5056.10,5014.25,5018.35,41.85,22.90
18,2022-10-04,4985.55,5011.75,4974.40,5007.70,37.35,-22.15
19,2022-10-03,4980.90,4996.15,4901.45,4917.90,94.70,63.00
20,2022-09-30,4866.75,4991.90,4862.55,4957.85,129.35,-91.10
21,2022-09-29,4898.10,4915.50,4840.60,4867.45,74.90,30.65
22,2022-09-28,4865.40,4908.05,4850.70,4861.75,57.35,3.65
23,2022-09-27,4915.20,4937.35,4861.20,4904.45,76.15,10.75
24,2022-09-26,4964.80,4972.65,4866.55,4888.40,106.10,76.40
25,2022-09-23,5121.75,5135.70,4997.95,5004.90,137.75,116.85
26,2022-09-22,5117.45,5146.90,5080.00,5119.20,66.90,-1.75
27,2022-09-21,5214.70,5239.05,5132.05,5139.60,107.00,75.10
28,2022-09-20,5220.40,5258.50,5209.70,5222.60,48.80,-2.20
29,2022-09-19,5176.60,5215.20,5135.30,5180.35,79.90,-3.75
30,2022-09-16,5289.55,5292.75,5161.05,5174.95,131.70,114.60
31,2022-09-15,5309.15,5321.25,5276.15,5302.80,45.10,6.35
32,2022-09-14,5228.80,5305.50,5228.10,5290.30,77.40,-61.50
33,2022-09-13,5283.85,5308.15,5267.95,5299.00,40.20,-15.15
34,2022-09-12,5215.65,5263.55,5212.70,5256.75,50.85,-41.10
35,2022-09-09,5257.00,5262.95,5197.50,5205.25,65.45,51.75
36,2022-09-08,5211.80,5235.15,5197.05,5229.45,38.10,-17.65
37,2022-09-07,5133.65,5190.35,5080.35,5184.65,110.00,-51.00
38,2022-09-06,5128.00,5170.80,5118.00,5164.10,52.80,-36.10
39,2022-09-05,5088.00,5118.75,5085.55,5113.60,33.20,-25.60
40,2022-09-02,5090.35,5116.20,5071.95,5078.10,44.25,12.25
41,2022-09-01,5075.50,5128.10,5074.80,5089.50,53.30,-14.00
42,2022-08-30,5074.30,5131.40,5068.80,5127.55,62.60,-53.25
43,2022-08-29,5003.40,5074.20,5000.20,5045.40,74.00,-42.00
44,2022-08-26,5079.55,5106.95,5068.35,5096.40,38.60,-16.85
45,2022-08-25,5099.75,5112.80,5050.75,5060.90,62.05,38.85
46,2022-08-24,5040.85,5084.35,5032.35,5078.00,52.00,-37.15
47,2022-08-23,4983.95,5066.10,4978.25,5056.50,87.85,-72.55
48,2022-08-22,5092.15,5092.25,5002.00,5009.65,90.25,82.50
49,2022-08-19,5119.75,5150.25,5074.20,5097.10,76.05,22.65
50,2022-08-18,5091.45,5126.05,5072.10,5122.55,53.95,-31.10
51,2022-08-17,5086.70,5105.35,5082.80,5094.00,22.55,-7.30
52,2022-08-16,5051.05,5068.35,5022.75,5064.65,45.60,-13.60
53,2022-08-12,4986.25,5030.70,4976.85,5020.60,53.85,-34.35
54,2022-08-11,5018.45,5023.75,4976.20,4983.75,47.55,34.70
55,2022-08-10,4986.00,4992.25,4946.55,4986.25,45.70,-0.25
56,2022-08-08,4955.15,4987.90,4943.70,4974.60,44.20,-19.45
57,2022-08-05,4945.85,4961.15,4930.85,4950.65,30.30,-4.80
58,2022-08-04,4988.70,4998.10,4885.70,4934.85,112.40,53.85
59,2022-08-03,4983.40,5002.15,4923.85,4971.00,78.30,12.40
60,2022-08-02,4980.10,4991.15,4945.55,4976.90,45.60,3.20
61,2022-08-01,4905.05,4984.30,4898.10,4979.30,86.20,-74.25
62,2022-07-29,4858.50,4895.70,4854.95,4890.55,40.75,-32.05
