,Date,Open,High,Low,Close,(High-Low),(Open-Close)
0,2022-11-01,28924.25,29296.15,28874.65,29270.65,421.50,-346.40
1,2022-10-31,28588.70,28843.15,28573.25,28727.60,269.90,-138.90
2,2022-10-28,28567.65,28629.55,28267.20,28318.35,362.35,249.30
3,2022-10-27,28787.10,28827.45,28403.30,28572.20,424.15,214.90
4,2022-10-25,28687.90,28820.15,28544.65,28722.85,275.50,-34.95
5,2022-10-24,28632.85,28663.65,28504.55,28534.30,159.10,98.55
6,2022-10-21,28428.40,28476.15,28207.30,28336.90,268.85,91.50
7,2022-10-20,27905.60,28462.25,27901.05,28432.20,561.20,-526.60
8,2022-10-19,28370.50,28376.70,28007.05,28060.35,369.65,310.15
9,2022-10-18,28342.50,28402.95,28211.55,28315.20,191.40,27.30
10,2022-10-17,27903.35,28128.85,27798.70,28019.10,330.15,-115.75
11,2022-10-14,28221.05,28371.30,27842.70,27954.05,528.60,267.00
12,2022-10-13,27625.75,27705.25,27346.50,27506.20,358.75,119.55
13,2022-10-12,27609.65,27752.00,27416.70,27694.65,335.30,-85.00
14,2022-10-11,28065.15,28313.30,27400.05,27469.50,913.25,595.65
15,2022-10-10,27259.40,28097.60,27259.40,28027.60,838.20,-768.20
16,2022-10-07,27874.85,27972.75,27656.65,27733.60,316.10,141.25
17,2022-10-06,27734.85,28009.30,27726.05,27928.75,283.25,-193.90
18,2022-10-04,27163.35,27530.80,27106.50,27496.95,424.30,-333.60
19,2022-10-03,26950.05,27011.50,26597.55,26729.10,413.95,220.95
20,2022-09-30,26713.05,27091.00,26453.00,26981.15,638.00,-268.10
21,2022-09-29,27273.90,27300.00,26721.95,26819.05,578.05,454.85
22,2022-09-28,26778.85,27243.20,26773.80,27067.65,469.40,-288.80
23,2022-09-27,26922.50,27101.10,26682.15,27004.15,418.95,-81.65
24,2022-09-26,26431.90,27049.20,26186.70,26743.65,862.50,-311.75
25,2022-09-23,26715.65,27063.50,26560.95,26592.35,502.55,123.30
26,2022-09-22,26659.05,27009.05,26552.45,26782.65,456.60,-123.60
27,2022-09-21,26896.80,27020.50,26805.45,26843.25,215.05,53.55
28,2022-09-20,27079.15,27370.35,26969.55,27020.60,400.80,58.55
29,2022-09-19,26882.65,27034.00,26506.90,26810.15,527.10,72.50
30,2022-09-16,27530.60,27575.55,26632.95,26706.45,942.60,824.15
31,2022-09-15,28232.85,28265.75,27684.40,27734.35,581.35,498.50
32,2022-09-14,28215.75,28284.05,28040.30,28137.60,243.75,78.15
33,2022-09-13,29334.05,29344.90,29062.60,29116.85,282.30,217.20
34,2022-09-12,28975.90,29296.20,28932.05,29131.20,364.15,-155.30
35,2022-09-09,28343.80,28848.40,28127.45,28724.00,720.95,-380.20
36,2022-09-08,28109.70,28206.60,27959.65,28102.40,246.95,7.30
37,2022-09-07,27500.50,27917.80,27487.70,27832.40,430.10,-331.90
38,2022-09-06,27884.85,27967.10,27580.35,27742.80,386.75,142.05
39,2022-09-05,27727.00,27978.80,27669.40,27836.60,309.40,-109.60
40,2022-09-02,28083.30,28085.35,27717.15,27745.80,368.20,337.50
41,2022-09-01,27987.35,28020.00,27710.05,27846.80,309.95,140.55
42,2022-08-30,27971.95,28466.80,27831.35,28407.90,635.45,-435.95
43,2022-08-29,27648.10,27773.10,27333.05,27678.95,440.05,-30.85
44,2022-08-26,28862.35,29067.55,28638.95,28691.60,428.60,170.75
45,2022-08-25,29061.55,29081.75,28561.80,28608.65,519.95,452.90
46,2022-08-24,28981.35,29120.30,28762.45,28859.85,357.85,121.50
47,2022-08-23,29041.60,29188.90,28714.15,28957.85,474.75,83.75
48,2022-08-22,29847.35,29881.75,29430.95,29478.90,450.80,368.45
49,2022-08-19,30095.45,30474.65,29943.90,30036.10,530.75,59.35
50,2022-08-18,30148.80,30166.10,29857.65,30018.90,308.45,129.90
51,2022-08-17,29917.35,30328.15,29784.15,30256.90,544.00,-339.55
52,2022-08-16,30130.90,30141.35,29826.25,29909.00,315.10,221.90
53,2022-08-12,30184.95,30195.00,29819.15,29885.90,375.85,299.05
54,2022-08-11,30164.20,30388.90,30073.95,30233.70,314.95,-69.50
55,2022-08-10,30013.45,30013.45,29456.80,29701.15,556.65,312.30
56,2022-08-08,29999.15,30036.75,29694.15,29967.70,342.60,31.45
57,2022-08-05,29891.85,30080.20,29799.20,29973.55,281.00,-81.70
58,2022-08-04,29694.05,29972.35,29278.15,29782.90,694.20,-88.85
59,2022-08-03,29002.30,29453.35,28929.90,29416.95,523.45,-414.65
60,2022-08-02,29131.10,29153.05,28871.20,29024.65,281.85,106.45
61,2022-08-01,29376.65,29376.65,28928.95,29220.00,447.70,156.65
62,2022-07-29,28983.25,29355.00,28909.15,29152.30,445.85,-169.05
63,2022-07-28,28225.10,28703.40,28170.45,28663.05,532.95,-437.95
64,2022-07-27,27420.65,27908.25,27339.95,27878.80,568.30,-458.15
65,2022-07-26,28157.50,28157.50,27383.95,27418.85,773.55,738.65
66,2022-07-25,28006.65,28320.85,27890.65,28216.00,430.20,-209.35
67,2022-07-22,28429.55,28549.25,27862.05,28168.15,687.20,261.40
68,2022-07-21,28116.55,28369.95,27848.75,28342.90,521.20,-226.35
69,2022-07-20,27701.05,28175.50,27631.40,28146.35,544.10,-445.30
70,2022-07-19,27071.80,27399.50,27065.80,27346.10,333.70,-274.30
71,2022-07-18,26801.75,27376.20,26785.80,27322.95,590.40,-521.20
72,2022-07-15,26664.30,26734.00,26189.40,26484.70,544.60,179.60
73,2022-07-14,27155.00,27162.90,26298.00,26523.30,864.90,631.70
74,2022-07-13,27228.95,27247.45,26872.75,26949.75,374.70,279.20
75,2022-07-12,27248.20,27504.40,27022.85,27063.75,481.55,184.45
76,2022-07-11,27855.75,27941.20,27195.65,27380.55,745.55,475.20
77,2022-07-08,28450.55,28459.55,28095.35,28250.30,364.20,200.25
78,2022-07-07,28217.80,28459.25,28077.05,28196.35,382.20,21.45
79,2022-07-06,27778.65,28148.90,27628.55,28007.60,520.35,-228.95
80,2022-07-05,28020.30,28233.05,27642.60,27695.15,590.45,325.15
81,2022-07-04,28084.25,28174.40,27643.65,27890.65,530.75,193.60
82,2022-07-01,27718.80,28151.00,27524.30,28064.25,626.70,-345.45
83,2022-06-30,28131.95,28325.65,27775.75,27843.35,549.90,288.60
84,2022-06-29,28105.70,28446.45,28046.75,28140.10,399.70,-34.40
85,2022-06-28,28218.50,28602.05,27983.60,28509.10,618.45,-290.60
86,2022-06-27,28293.20,28588.70,28251.40,28345.95,337.30,-52.75
87,2022-06-24,28261.00,28361.20,27631.45,27777.80,729.75,483.20
88,2022-06-23,27532.75,28100.05,27532.75,28027.80,567.30,-495.05
89,2022-06-22,27656.30,27824.05,27426.05,27488.35,398.00,167.95
90,2022-06-21,27202.90,27895.00,27137.90,27810.60,757.10,-607.70
91,2022-06-20,26819.45,27112.65,26544.80,26966.20,567.85,-146.75
92,2022-06-17,26866.60,26993.55,26399.75,26732.45,593.80,134.15
93,2022-06-16,28191.85,28224.50,27067.45,27136.45,"1,157.05","1,055.40"
94,2022-06-15,28017.95,28131.15,27786.65,27812.45,344.50,205.50
95,2022-06-14,27626.20,28249.60,27502.05,27953.35,747.55,-327.15
96,2022-06-13,28419.85,28443.85,27792.10,27914.60,651.75,505.25
97,2022-06-10,29299.50,29350.60,29022.75,29114.30,327.85,185.20
98,2022-06-09,29254.40,29802.80,29062.20,29761.55,740.60,-507.15
99,2022-06-08,29519.65,29588.40,29155.60,29472.15,432.80,47.50
100,2022-06-07,29593.45,29650.55,29243.90,29351.70,406.65,241.75
101,2022-06-06,29750.70,29972.85,29281.45,29819.80,691.40,-69.10
102,2022-06-03,30169.95,30559.00,29858.15,29903.80,700.85,266.15
103,2022-06-02,29249.80,29875.35,29197.90,29792.35,677.45,-542.55
104,2022-06-01,29822.15,29829.75,29148.55,29260.75,681.20,561.40
105,2022-05-31,29609.10,29807.35,29294.35,29679.05,513.00,-69.95
106,2022-05-30,29084.10,29837.65,29069.00,29753.30,768.65,-669.20
107,2022-05-27,28302.30,28728.30,28210.80,28641.60,517.50,-339.30
108,2022-05-26,27729.15,28040.25,27516.40,27932.55,523.85,-203.40
109,2022-05-25,28470.90,28479.35,27423.80,27566.10,"1,055.55",904.80
110,2022-05-24,29123.60,29141.55,28425.40,28531.50,716.15,592.10
111,2022-05-23,28861.35,29308.25,28604.70,29079.30,703.55,-217.95
112,2022-05-20,28884.75,28897.45,28577.65,28789.40,319.80,95.35
113,2022-05-19,29448.45,29495.15,28193.60,28352.15,"1,301.55","1,096.30"
114,2022-05-18,30367.50,30823.15,30045.65,30077.70,777.50,289.80
115,2022-05-17,29503.30,30313.90,29339.65,30218.70,974.25,-715.40
116,2022-05-16,29680.65,29875.25,29278.35,29403.50,596.90,277.15
117,2022-05-13,30062.80,30115.05,29539.05,29624.85,576.00,437.95
118,2022-05-12,29744.50,30184.35,29497.25,29756.85,687.10,-12.35
119,2022-05-11,30425.55,30548.55,29669.25,30050.20,879.30,375.35
120,2022-05-10,30635.00,30785.95,30343.10,30427.20,442.85,207.80
121,2022-05-09,30490.95,30934.45,30019.80,30733.30,914.65,-242.35
122,2022-05-06,30803.75,30881.10,30278.85,30719.45,602.25,84.30
123,2022-05-05,31215.70,31470.15,31117.50,31432.45,352.65,-216.75
124,2022-05-04,31260.40,31452.80,30663.40,30794.60,789.40,465.80
125,2022-05-02,31377.35,31409.65,30940.65,31138.80,469.00,238.55
126,2022-04-29,32135.90,32212.90,31541.35,31622.40,671.55,513.50
127,2022-04-28,31858.50,32156.30,31468.15,31914.35,688.15,-55.85
128,2022-04-27,31689.85,31689.85,31276.15,31594.35,413.70,95.50
129,2022-04-26,32088.95,32141.45,31683.20,31840.05,458.25,248.90
130,2022-04-25,32103.20,32130.45,31637.45,31744.00,493.00,359.20
131,2022-04-22,32287.85,32748.85,32186.40,32426.70,562.45,-138.85
132,2022-04-21,32399.60,32700.00,32145.30,32611.60,554.70,-212.00
133,2022-04-20,32030.75,32306.35,31718.15,32173.35,588.20,-142.60
134,2022-04-19,33108.65,33108.65,31569.35,31804.20,"1,539.30","1,304.45"
135,2022-04-18,33174.55,33366.15,32600.90,32780.05,765.25,394.50
136,2022-04-13,34553.10,34591.00,34231.80,34354.75,359.20,198.35
137,2022-04-12,34683.85,34747.75,34204.10,34379.50,543.65,304.35
138,2022-04-11,35429.65,35443.80,34832.85,34895.90,610.95,533.75
139,2022-04-08,35599.30,35679.30,35219.65,35394.45,459.65,204.85
140,2022-04-07,35744.65,35817.45,35379.20,35423.20,438.25,321.45
141,2022-04-06,36371.00,36371.90,35781.50,35871.50,590.40,499.50
142,2022-04-05,36534.95,36813.10,36423.50,36466.55,389.60,68.40
143,2022-04-04,36347.55,36526.75,36130.35,36442.90,396.40,-95.35
144,2022-04-01,36228.25,36424.60,36039.65,36343.40,384.95,-115.15
145,2022-03-31,36517.95,36663.20,36164.90,36317.20,498.30,200.75
146,2022-03-30,36493.10,36519.75,36244.45,36463.55,275.30,29.55
147,2022-03-29,36075.45,36256.30,35982.95,36146.75,273.35,-71.30
148,2022-03-28,36108.50,36207.75,35669.60,36026.05,538.15,82.45
149,2022-03-25,36630.20,36710.50,35914.80,36152.30,795.70,477.90
150,2022-03-24,35872.55,36597.80,35853.10,36516.75,744.70,-644.20
151,2022-03-23,36251.85,36362.95,35883.10,36082.00,479.85,169.85
152,2022-03-22,35425.95,36119.85,35309.55,36070.45,810.30,-644.50
153,2022-03-21,35829.20,36135.50,35299.10,35377.70,836.40,451.50
154,2022-03-17,36245.05,36246.45,35466.20,35643.60,780.25,601.45
155,2022-03-16,35601.35,35787.95,35369.70,35729.65,418.25,-128.30
156,2022-03-15,36131.45,36131.45,34996.55,35097.85,"1,134.90","1,033.60"
157,2022-03-14,35347.95,36071.40,35347.95,36028.00,723.45,-680.05
158,2022-03-11,35203.80,35478.35,35148.10,35348.70,330.25,-144.90
159,2022-03-10,35931.15,35931.15,35265.50,35399.10,665.65,532.05
160,2022-03-09,35218.15,35726.25,35154.20,35440.55,572.05,-222.40
161,2022-03-08,33977.90,35162.95,33977.90,35055.55,"1,185.05","-1,077.65"
162,2022-03-07,33524.60,34435.60,33499.35,34135.90,936.25,-611.30
163,2022-03-04,33720.65,34504.85,33462.20,34177.70,"1,042.65",-457.05
164,2022-03-03,34032.20,34410.70,33887.55,34130.30,523.15,-98.10
165,2022-03-02,33748.40,33924.75,33484.60,33720.00,440.15,28.40
166,2022-02-28,33180.35,33961.05,32858.75,33847.85,"1,102.30",-667.50
167,2022-02-25,33214.35,33678.00,33058.80,33476.95,619.20,-262.60
168,2022-02-24,33077.65,33396.25,32438.25,32547.90,958.00,529.75
169,2022-02-23,34385.10,34430.95,34042.70,34114.30,388.25,270.80
170,2022-02-22,33678.35,34287.20,33600.45,34129.55,686.75,-451.20
171,2022-02-21,34372.00,34692.35,33989.30,34472.00,703.05,-100.00
172,2022-02-18,34359.95,34727.10,34295.70,34483.05,431.40,-123.10
173,2022-02-17,35022.85,35052.35,34564.20,34634.10,488.15,388.75
174,2022-02-16,35103.20,35209.70,34712.30,34801.90,497.40,301.30
175,2022-02-15,34268.30,35017.10,34081.05,34913.30,936.05,-645.00
176,2022-02-14,33857.40,34466.65,33666.25,33880.65,800.40,-23.25
177,2022-02-11,34889.45,34917.85,34313.25,34379.05,604.60,510.40
178,2022-02-10,35255.95,35379.85,34994.75,35341.85,385.10,-85.90
179,2022-02-09,34741.85,35052.65,34707.65,34983.30,345.00,-241.45
180,2022-02-08,34687.85,34862.10,34189.65,34521.55,672.45,166.30
181,2022-02-07,34898.00,35148.00,34372.95,34621.20,775.05,276.80
182,2022-02-04,34982.70,35194.60,34539.90,35080.10,654.70,-97.40
183,2022-02-03,35656.85,35693.40,34962.45,35056.80,730.95,600.05
184,2022-02-02,35556.50,35845.30,35278.55,35788.75,566.75,-232.25
185,2022-02-01,35337.95,35435.50,34754.35,35371.65,681.15,-33.70
186,2022-01-31,34519.30,34972.25,34440.30,34824.55,531.95,-305.25
187,2022-01-28,33608.45,34473.50,33608.45,33851.95,865.05,-243.50
188,2022-01-27,34338.10,34362.85,33251.70,33475.05,"1,111.15",863.05
189,2022-01-25,34490.35,35065.80,33956.55,34707.45,"1,109.25",-217.10
190,2022-01-24,35934.20,35969.85,34563.20,34821.60,"1,406.65","1,112.60"
191,2022-01-21,36354.30,36579.65,35836.65,36054.55,743.00,299.75
192,2022-01-20,37175.00,37249.05,36512.50,36662.20,736.55,512.80
193,2022-01-19,38011.90,38011.90,37236.15,37281.70,775.75,730.20
194,2022-01-18,38830.15,38990.55,38004.25,38091.75,986.30,738.40
195,2022-01-17,38764.65,38993.25,38486.35,38804.95,506.90,-40.30
196,2022-01-14,38351.35,38892.65,38049.60,38826.85,843.05,-475.50
197,2022-01-13,38768.85,38886.85,38151.05,38607.00,735.80,161.85
198,2022-01-12,38857.75,38902.80,38424.75,38604.75,478.05,253.00
199,2022-01-11,38186.95,38664.40,38138.00,38605.40,526.40,-418.45
200,2022-01-10,38596.75,38621.90,37991.30,38212.20,630.60,384.55
201,2022-01-07,38140.15,38394.80,38003.15,38139.85,391.65,0.30
202,2022-01-06,38181.35,38206.60,37757.20,38009.00,449.40,172.35
203,2022-01-05,39261.55,39293.15,38409.25,38609.15,883.90,652.40
204,2022-01-04,39243.50,39446.70,38828.60,39370.70,618.10,-127.20
205,2022-01-03,38752.60,39286.35,38752.55,39123.80,533.80,-371.20
