,Date,Open,High,Low,Close,(High-Low),(Open-Close)
0,2022-11-01,2075.50,2075.50,2052.40,2056.75,23.10,18.75
1,2022-10-31,2066.50,2073.30,2056.90,2062.35,16.40,4.15
2,2022-10-28,2076.90,2080.40,2047.35,2055.55,33.05,21.35
3,2022-10-27,2071.95,2076.15,2056.95,2073.05,19.20,-1.10
4,2022-10-25,2077.95,2078.40,2053.40,2059.15,25.00,18.80
5,2022-10-24,2083.05,2087.95,2065.65,2070.40,22.30,12.65
6,2022-10-21,2108.10,2113.00,2059.15,2063.55,53.85,44.55
7,2022-10-20,2099.55,2108.25,2088.05,2104.10,20.20,-4.55
8,2022-10-19,2102.05,2110.75,2089.55,2103.80,21.20,-1.75
9,2022-10-18,2109.75,2115.05,2088.20,2109.75,26.85,0.00
10,2022-10-17,2085.15,2096.80,2055.00,2065.50,41.80,19.65
11,2022-10-14,2130.05,2132.50,2077.30,2082.10,55.20,47.95
12,2022-10-13,2096.30,2112.95,2075.25,2098.70,37.70,-2.40
13,2022-10-12,2103.05,2111.05,2056.10,2093.10,54.95,9.95
14,2022-10-11,2146.70,2151.85,2083.40,2094.50,68.45,52.20
15,2022-10-10,2133.30,2155.60,2124.50,2137.65,31.10,-4.35
16,2022-10-07,2150.55,2167.25,2136.95,2160.80,30.30,-10.25
17,2022-10-06,2119.65,2172.90,2115.85,2152.60,57.05,-32.95
18,2022-10-04,2072.50,2104.00,2046.45,2095.45,57.55,-22.95
19,2022-10-03,2074.65,2100.10,2032.00,2039.10,68.10,35.55
20,2022-09-30,2041.10,2069.65,2027.00,2062.90,42.65,-21.80
21,2022-09-29,2034.55,2066.75,2010.95,2033.30,55.80,1.25
22,2022-09-28,2009.65,2040.55,2000.20,2009.10,40.35,0.55
23,2022-09-27,2038.65,2046.80,1995.15,2029.40,51.65,9.25
24,2022-09-26,2072.75,2072.75,1988.25,2022.40,84.50,50.35
25,2022-09-23,2178.05,2179.10,2078.80,2086.05,100.30,92.00
26,2022-09-22,2117.45,2166.15,2115.95,2160.35,50.20,-42.90
27,2022-09-21,2134.45,2155.60,2109.65,2121.20,45.95,13.25
28,2022-09-20,2130.95,2143.90,2120.05,2127.25,23.85,3.70
29,2022-09-19,2086.10,2123.75,2055.70,2107.65,68.05,-21.55
30,2022-09-16,2164.25,2167.70,2070.25,2081.35,97.45,82.90
31,2022-09-15,2218.85,2219.75,2164.05,2169.55,55.70,49.30
32,2022-09-14,2168.90,2236.10,2168.80,2217.80,67.30,-48.90
33,2022-09-13,2201.80,2208.65,2183.55,2198.75,25.10,3.05
34,2022-09-12,2177.55,2203.85,2170.15,2190.65,33.70,-13.10
35,2022-09-09,2164.90,2173.35,2116.10,2148.10,57.25,16.80
36,2022-09-08,2190.30,2191.65,2142.90,2152.30,48.75,38.00
37,2022-09-07,2119.70,2167.25,2116.20,2162.00,51.05,-42.30
38,2022-09-06,2156.50,2163.70,2124.20,2130.95,39.50,25.55
39,2022-09-05,2085.90,2141.70,2083.30,2139.50,58.40,-53.60
40,2022-09-02,2082.90,2110.35,2064.65,2082.20,45.70,0.70
41,2022-09-01,2034.55,2089.55,2031.65,2071.75,57.90,-37.20
42,2022-08-30,2058.15,2079.70,2057.35,2069.20,22.35,-11.05
43,2022-08-29,2027.85,2060.85,2017.70,2041.15,43.15,-13.30
44,2022-08-26,2107.95,2120.40,2078.65,2083.55,41.75,24.40
45,2022-08-25,2113.65,2121.65,2093.25,2097.40,28.40,16.25
46,2022-08-24,2072.90,2102.80,2064.65,2098.35,38.15,-25.45
47,2022-08-23,2043.45,2076.90,2033.75,2062.50,43.15,-19.05
48,2022-08-22,2049.15,2080.30,2031.60,2058.60,48.70,-9.45
49,2022-08-19,2068.30,2103.60,2052.05,2063.60,51.55,4.70
50,2022-08-18,2064.95,2081.00,2052.05,2065.40,28.95,-0.45
51,2022-08-17,2051.65,2091.40,2035.25,2066.95,56.15,-15.30
52,2022-08-16,2034.30,2062.40,2030.15,2037.20,32.25,-2.90
53,2022-08-12,2073.50,2079.15,2039.90,2043.25,39.25,30.25
54,2022-08-11,2103.95,2110.75,2067.00,2072.55,43.75,31.40
55,2022-08-10,2107.10,2116.40,2080.60,2092.95,35.80,14.15
56,2022-08-08,2082.55,2109.35,2077.80,2103.20,31.55,-20.65
57,2022-08-05,2106.20,2111.75,2081.65,2086.55,30.10,19.65
58,2022-08-04,2129.80,2139.10,2072.90,2097.45,66.20,32.35
59,2022-08-03,2125.30,2135.10,2083.75,2116.20,51.35,9.10
60,2022-08-02,2116.90,2137.55,2113.95,2125.20,23.60,-8.30
61,2022-08-01,2098.20,2134.90,2082.65,2126.90,52.25,-28.70
62,2022-07-29,2062.10,2090.70,2059.05,2079.05,31.65,-16.95
63,2022-07-28,2034.05,2052.75,2014.80,2049.85,37.95,-15.80
64,2022-07-27,1984.70,2027.00,1976.55,2021.90,50.45,-37.20
65,2022-07-26,1964.50,2002.95,1960.05,1979.85,42.90,-15.35
66,2022-07-25,1975.75,1986.90,1943.35,1962.90,43.55,12.85
67,2022-07-22,1986.60,1991.40,1963.00,1976.90,28.40,9.70
68,2022-07-21,1955.60,1989.95,1951.55,1971.00,38.40,-15.40
69,2022-07-20,1973.60,1978.40,1943.20,1947.90,35.20,25.70
70,2022-07-19,1958.35,1977.20,1949.20,1956.40,28.00,1.95
71,2022-07-18,1947.90,1971.25,1947.90,1963.15,23.35,-15.25
72,2022-07-15,1936.10,1944.00,1924.70,1938.15,19.30,-2.05
73,2022-07-14,1940.70,1954.90,1920.35,1931.60,34.55,9.10
74,2022-07-13,1938.10,1948.60,1926.20,1938.70,22.40,-0.60
75,2022-07-12,1946.70,1953.85,1925.60,1929.05,28.25,17.65
76,2022-07-11,1938.35,1958.45,1931.05,1951.40,27.40,-13.05
77,2022-07-08,1959.35,1982.95,1940.95,1947.05,42.00,12.30
78,2022-07-07,1947.75,1954.95,1926.60,1945.90,28.35,1.85
79,2022-07-06,1901.90,1942.40,1880.25,1936.45,62.15,-34.55
