,Date,Open,High,Low,Close,(High-Low),(Open-Close)
0,2022-11-01,13254.05,13517.25,13246.20,13492.05,271.05,-238.00
1,2022-10-31,13121.10,13274.55,13112.05,13212.25,162.50,-91.15
2,2022-10-28,13218.40,13218.40,13026.70,13048.30,191.70,170.10
3,2022-10-27,13170.60,13244.95,13121.65,13228.05,123.30,-57.45
4,2022-10-25,13079.40,13148.35,13033.85,13112.20,114.50,-32.80
5,2022-10-24,13080.75,13087.95,13050.70,13061.10,37.25,19.65
6,2022-10-21,13110.70,13150.40,12956.35,12979.40,194.05,131.30
7,2022-10-20,12962.60,13101.30,12941.65,13089.20,159.65,-126.60
8,2022-10-19,13027.65,13091.35,12955.15,13021.75,136.20,5.90
9,2022-10-18,13044.25,13064.80,12949.45,13008.25,115.35,36.00
10,2022-10-17,12932.55,13022.70,12925.20,12982.40,97.50,-49.85
11,2022-10-14,12989.65,13034.40,12933.00,12950.45,101.40,39.20
12,2022-10-13,12847.85,12936.35,12810.75,12867.15,125.60,-19.30
13,2022-10-12,12861.45,12884.65,12742.90,12839.35,141.75,22.10
14,2022-10-11,13064.70,13065.75,12805.30,12826.80,260.45,237.90
15,2022-10-10,13016.05,13084.50,12933.45,13028.40,151.05,-12.35
16,2022-10-07,13169.75,13200.30,13097.85,13134.70,102.45,35.05
17,2022-10-06,13310.75,13310.75,13150.65,13188.00,160.10,122.75
18,2022-10-04,13244.50,13246.05,13140.90,13233.45,105.15,11.05
19,2022-10-03,12981.50,13241.10,12958.45,13118.95,282.65,-137.45
20,2022-09-30,12918.30,12998.30,12813.70,12971.90,184.60,-53.60
21,2022-09-29,12782.60,12962.85,12778.25,12874.30,184.60,-91.70
22,2022-09-28,12548.35,12750.65,12525.70,12705.40,224.95,-157.05
23,2022-09-27,12532.25,12611.85,12457.80,12598.00,154.05,-65.75
24,2022-09-26,12570.85,12614.05,12441.20,12475.50,172.85,95.35
25,2022-09-23,12602.85,12740.10,12594.50,12610.65,145.60,-7.80
26,2022-09-22,12506.15,12644.95,12500.75,12612.85,144.20,-106.70
27,2022-09-21,12793.65,12834.85,12549.45,12573.55,285.40,220.10
